palabra_damana,frecuencia,candidatas_estadisticas,ejemplo_damana,ejemplo_espanol,espanol_propuesto,categoria,notas
"awantka",1592,"jehova | jesus | dijo | asi | rey","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"zen",123,"jehova | miedo | dijo | dios | dio","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi shka Bibliamba zhanandzinanzhe.","Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","","",""
"kunkujshina",120,"dios | jehova | dijo | adorar | baal","Bibliaga naiguiumpana uka ñingui zukuega nekantka Kunkujshina katshijkiamaka ingui kangʉmamba.","La Biblia comienza con el relato de la creación física, que nos habla de las cosas tan bonitas que Jehová hizo en el cielo y en la Tierra.","","",""
"nukuantka",113,"jehova | jesus | dijo | queria | rey","Dzuia anzhakʉjsi nekuai dzira janʉn nukuantka.","Los días fueron pasando, y el agua se fue secando.","","",""
"uka",101,"jehova | jesus | dios | dijo | saul","Ima zhinzhomaga naijtushisha uka ia Bibliaga guaka uka shka Jehová kʉzhintujkua awantkandzina ingui kʉzhintujkuñí ukuandzinangua ingui nainguneka uka","Esta publicación nos permite ver que la Biblia es un libro que nos habla de personas: las que obedecieron a Jehová y las que desobedecieron. También nos ayuda a aprender lecciones del ejemplo que nos dan esos personajes (Romanos 15:4; 1 Corintios 10:6).","","",""
"we",98,"fe | jehova | jesus | dios | confiaba","Kuisa nanantka, ukuashkʉ Evaga we uguana awantka.","Era una mentira, pero Eva se la creyó.","","",""
"gʉgaso",97,"respondio | jehova | contesto | jesus | dijo","Evaga gʉgaso: “Ga awazhingurra kʉ kʉnzhiwa, awashkʉ shkuaki kʉnzhiwa kʉnzhe gón nanazhingurra. Ga aunkurrerru mema kʉnzhe kʉnzhiwa,","Eva le respondió: “Podemos comer cualquier fruta, menos la de un árbol. Si comemos la de ese árbol, nos moriremos”.","","",""
"shkandzina",95,"gente | jehova | personas | pueblo | dijo","namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"inzhue",84,"preguntas | jehova | jesus | pregunto | sabes","¿Inzhué nunkuame?","¿Por qué no?","","",""
"ukua",78,"jehova | dijo | asi | hizo | escucho","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"israelitandzina",75,"israelitas | jehova | faraon | moises | despues","Ima kʉnkua zhinzhomanzhemba, asheshisha aunkurra José, Job, Moisés ingui israelitandzina ingegua.","En esta sección, leeremos la historia de José, Job, Moisés y los israelitas.","","",""
"kunkujshinanzhe",74,"dios | jesus | espiritu | reino | santo","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi shka Bibliamba","Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","","",""
"kʉgi",74,"años | tenia | jehova | jerusalen | despues","Na ingui nanzhe kawandzinawin mema dzingo awega 50 kʉgi dzinukuantka, dzingo awantka Jehovága uguia ukuai.","Él y su familia tardaron unos 50 años en construirla, y la hicieron como Jehová les dijo.","","",""
"awʉnka",73,"jehova | dios | jesus | dijo | abrahan","Memé dzinekuwerru Jehová kʉnduna dzawazhʉnga awerru Jehovánzhe kawa dzineka awʉnka.","Así ellos también podrán adorar a Jehová y ser miembros de su amada familia.","","",""
"dzinaia",73,"jesus | israelitas | asi | jehova | jerusalen","Dzantujkuawí nunkuambarru, dzimasha awantka torre dzingawi ukuemdzi dzinaia awantka ʉnduarga tshijkuan.","Como ya no podían entenderse, detuvieron la construcción y empezaron a irse de allí para vivir en otras partes de la Tierra.","","",""
"ukuambarru",73,"entonces | jehova | dijo | jesus | asi","Bʉgui shkandzina azhi nʉnka zhintshijtuna ukuambarru Jehovága asisakuaga kʉnzhanantka.","La mayoría de la gente se hizo tan mala que Jehová tuvo que acabar con aquel mundo malvado.","","",""
"kunkujshinaga",70,"dios | jehova | dijo | rey | pueblo","Gʉmtshina mʉkawa nʉnerru, anguneka ushi tua awega bʉgui anzhʉnga nʉnka kʉ Kunkujshinaga go awantka.","Si usted tiene hijos, ayúdelos a valorar la sorprendente variedad que existe en la creación.","","",""
"tshui",65,"jehova | favor | dijo | triste | entristece","Shka zumé nʉnkandzinaga zen zhigunshishka Kunkujshina, awashkʉ shka azhi nʉnkandzinagarru tshui zhiguanʉn guashishka.","Las personas buenas hacen feliz a Dios, pero las personas malas lo ponen triste.","","",""
"nanega",64,"jehova | rey | fuera | israel | tener","kʉ nʉnka shkandzinanzhe, kʉ nʉnka ʉnkʉndungurra ima shizhakʉndziganzhe, nainguneka awazhʉnga nʉname nʉnai zen zhiguazhi nanega.","Y, como la Biblia es un libro para todo el mundo, no hay duda de que todos nos beneficiaremos de repasar sus lecciones, ya que pueden ayudarnos a ser realmente felices.","","",""
"anguneka",63,"jehova | ayudo | hijos | ayudelos | jesus","Anguneka awazhʉnga, kʉ shkandzinangua Biblianzhe shindzʉnegi amtʉjkandzina.","No obstante, puede ser también muy útil para los adultos que deseen aprender más de la Biblia.","","",""
"anzhʉnga",62,"jehova | importante | hijos | despues | dijo","Gʉmtshina mʉkawa nʉnerru, anguneka ushi tua awega bʉgui anzhʉnga nʉnka kʉ Kunkujshinaga go awantka.","Si usted tiene hijos, ayúdelos a valorar la sorprendente variedad que existe en la creación.","","",""
"ushau",62,"dijo | hombres | jehova | asi | dios","“Uguana ushau ja maigungandzinangua ingui kashizha awau maintshijsaka aunukandzinatʉjka.","Esa mañana, Jacob vio a lo lejos a Esaú y a los 400 hombres.","","",""
"zhana",62,"rey | israel | jehova | babilonia | pais","Awemdzi, asheshisha maunkua Bibliamba zhana capítulo.","Luego, pueden leer el pasaje bíblico en el que se basa el capítulo.","","",""
"nʉname",61,"jehova | dijo | asi | rey | jesus","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi shka Bibliamba zhanandzinanzhe.","Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","","",""
"anguga",60,"jehova | asi | eligio | elegido | jesus","Naka mema kangʉma anguga ukuemdzi meku kuan naia awantka nanzhe kawandzinawin, mema kangʉma kuan naia ukueku zhiganuka Sodoma.","De modo que eligió ese sitio y se fue con su familia a vivir allá, cerca de una ciudad que se llamaba Sodoma.","","",""
"angasha",59,"envio | jehova | dijo | angel | ciudad","andunún nanantka anzhʉngʉma izhindunazha awega, memé nunkuame naiá, ukuemdzi Abrahánwin ashe awantka kaia: “Umbamdzi angasha ushi Agar ingui anzhʉngʉmawin”.","Ella quería proteger a su hijo, así que fue a hablar con Abrahán y le dijo: “Echa de aquí a Agar e Ismael”. Al principio, Abrahán no quería hacer eso.","","",""
"dzineka",58,"jehova | jesus | familia | hicieron | ciudad","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"shkandzinaga",56,"gente | jehova | dios | jesus | dijo","Ima zhinzhomagangua anguneka awazhʉnga shkandzinaga kagʉntuna awega bunguingʉma zukuega Biblianzhe.","Se puede usar el mismo método para ayudar a un adulto a tener una idea general del mensaje de la Biblia.","","",""
"kakaia",55,"dijo | jesus | jehova | miedo | ustedes","Ukuemdzi, Jehovága kakaia awantka antshijtuna awega.","Entonces Jehová les dijo que podían salir.","","",""
"nekantka",55,"hizo | jehova | dijo | jesus | luego","Ima zhinzhoma goguma nekantka gʉmtshinamburrunzhe.","Este libro se ha preparado sobre todo pensando en los niños.","","",""
"wida",52,"murio | hijo | jesus | dijo | gente","Mema kʉnzhe kʉnzhiwa ga mawerru, wida mawʉnka”.","Si comes la fruta de ese árbol, morirás”.","","",""
"zhanandzina",49,"jehova | gente | juda | asi | pueblo","Shetamorrandzinangua gogumantka nuka agʉñi zukuega tua awega shka Bibliamba zhanandzina ingui tua awega ñingui zukuega dzineka awantka.","Tanto el texto como las ilustraciones se han preparado para que los relatos bíblicos cobren vida y reflejen los sentimientos de sus personajes.","","",""
"awʉnga",47,"voy | dijo | jehova | gente | hombre","Jehovága Abrahán kaia: “Masha ushi manzhe urraga ingui manzhe kawandzina, kaiarru naia ushi raga mʉjtushisha awʉnga bigu mʉnaiʉnka”.","Luego, Dios le prometió: “Te convertirás en una gran nación. Y por medio de ti haré cosas buenas para la gente de toda la Tierra”.","","",""
"nunkua",46,"jehova | despues | rey | hombre | juda","Dumatshijtua awʉnka nunkua kangʉma ingui zhigawigandzinawin.","Cuidarían de la Tierra y los animales.","","",""
"dzinukuantka",44,"jehova | estaban | habian | gente | querian","Na ingui nanzhe kawandzinawin mema dzingo awega 50 kʉgi dzinukuantka, dzingo awantka Jehovága uguia ukuai.","Él y su familia tardaron unos 50 años en construirla, y la hicieron como Jehová les dijo.","","",""
"gunamandzina",43,"pueblo | jehova | dijo | dios | moises","Moisés 40 kʉgi kʉnzhʉnguashkʉ, anguga awantka shka anguneka awega nanzhe gunamandzina.","A la edad de 40 años, Moisés decidió ayudar a la gente de su pueblo. Un día, vio a un egipcio pegándole a un esclavo israelita.","","",""
"dzawantka",42,"jehova | años | israelitas | jesus | ropa","Adán Evanʉn Kunkujshina kʉzhintujkuñí dzawantka","Adán y Eva desobedecen a Dios","","",""
"dzinguaka",42,"jesus | dijeron | dios | entonces | jehova","Dzinguaka: “Umba makuma aunkurra go ukuzhi bʉgui urraga ingui shkua torre go aunkurra katshijkiamaka ijtuna. Memé nekunkurrerru","Dijeron: “Quedémonos aquí y construyamos una ciudad y una torre que llegue hasta los cielos.","","",""
"go",42,"jehova | dijo | creo | hombre | primer","Gʉmtshina mʉkawa nʉnerru, anguneka ushi tua awega bʉgui anzhʉnga nʉnka kʉ Kunkujshinaga go awantka.","Si usted tiene hijos, ayúdelos a valorar la sorprendente variedad que existe en la creación.","","",""
"guaga",41,"saul | mato | rey | dijo | matar","Kumatunguangui anzhʉduga guaga awantka","Se enoja tanto que mata a su hermano","","",""
"nanu",41,"jehova | dijo | padre | pedro | casa","¿Tua awamka nanu iwina zhʉnguashkʉ shkua kumesa?","¿Has visto alguna vez un arcoíris?","","",""
"awazhʉnga",39,"puede | jehova | podia | dijo | jesus","Anguneka awazhʉnga, kʉ shkandzinangua Biblianzhe shindzʉnegi amtʉjkandzina.","No obstante, puede ser también muy útil para los adultos que deseen aprender más de la Biblia.","","",""
"dziwa",38,"desierto | jehova | despues | diluvio | dijo","¿Inzhué nunkuame Kunkujshinaga dziwa bʉgui nekʉn guashisha awantka shkandzina asisa awega?","¿Por qué destruyó Dios el mundo antiguo con un diluvio?","","",""
"dzui",38,"jehova | jesus | dijo | dinero | asi","Go awantka dzui kangʉmamba bo zhakujtshega.","Hizo que la luz del sol brillara sobre la Tierra.","","",""
"aunkurra",37,"jehova | cosas | vamos | asi | baal","Kʉskʉnangui kʉnkua angogumantka nuka ima zhinzhomanzhe naimashe uka unguazingʉma ñingui bʉgui anzhʉngandzina shindza aunkurra.","El libro está dividido en 14 secciones. Al principio de cada una, hay un resumen de algunas de las lecciones que podemos aprender.","","",""
"ijkʉnaga",37,"respondieron | dijeron | rey | jose | dijo","Ijkʉnaga gaguanantka mema kʉwaga guashi guakʉnukua, indzui zhanuwanshkʉ ʉnkʉjshena dzinekʉnka na kushamba. Memé nunkuame agʉñi","Ellos pensaron que esos sueños significaban que un día se inclinarían delante de él.","","",""
"nukuashkʉ",37,"mientras | dijo | jehova | jesus | moises","Ñingui tua ukurrandzina gawuʉn nukuashkʉ minshangui bʉgui ángelndzina go awantka.","Antes de hacer las cosas que vemos, él creó muchísimos ángeles.","","",""
"guashinguʉn",36,"jehova | dijo | demas | dinero | dio","Uguia ushi Kunkujshinaga go awantka shka agʉñi anzhʉnga zhigawigandzina guashinguʉn, shkandzinarru asheka nʉname, uguana, ñingui dzingoga, zhamaia ingui Kunkujshinawin dzasheka nʉname, anguneka ushi","Resalte que Jehová creó a los seres humanos muy superiores a los animales, con la capacidad de conversar, razonar, inventar cosas, cantar y orar. Ayude a sus hijos a darse cuenta del poder y la sabiduría de Jehová y, sobre todo, del amor que siente por lo que ha creado, incluyendo a cada uno de nosotros.","","",""
"gʉntuna",36,"entero | cuenta | dio | alli | jehova","Ukuashkʉ Rebecaga Jacob anguneka awantka, Esaúnzhe anzhʉduga, anzhadega kʉ naka akawa awega. Esaúga gʉntuna ukuashkʉ, bʉgui kumatuna awantka ukuemdzi anzhʉduga shipa nunkua guagʉnka zhiguanumpana.","Esaú se enteró, se puso furioso e hizo planes para matar a su hermano gemelo.","","",""
"nantka",36,"jehova | dijo | nunca | reino | durara","Shkandzina zhigawigandzinaie nanún nantka.","Los seres humanos serían diferentes de los animales.","","",""
"nanʉnka",36,"dijo | jehova | sera | rey | seria","Ñingui tshijshangawʉnka, dzasheka nanʉnka zhintshijshimʉnka ingui Kunkujshinaga kashizha dzinekʉnka.","Podrían inventar cosas, hablar, reír y orar a Dios.","","",""
"wandua",35,"jehova | malvada | dijo | gente | rey","Mema nanantka shkua ángel wandua nʉnka guma ashaiʉn guashisha ukua. Eva dunshʉnegi amsi.","Fue un ángel malo el que hizo que la serpiente hablara. Quería engañar a Eva.","","",""
"guashi",34,"jehova | significaba | significa | sueño | abrahan","Mema guaka ukuemdzi mema kʉnzhakujtshʉnka guashi, guashisha awantka atuna awega shkua kumesa katshijkiamaka buiengua atununtka nunkuá.","Como señal de esa promesa, hizo que saliera un arcoíris en el cielo por primera vez.","","",""
"guashisha",34,"jehova | hizo | despues | israelitas | dijo","¿Inzhué nunkuame Kunkujshinaga dziwa bʉgui nekʉn guashisha awantka shkandzina asisa awega?","¿Por qué destruyó Dios el mundo antiguo con un diluvio?","","",""
"maunkua",34,"dijo | jehova | asi | hombres | entonces","Awemdzi, asheshisha maunkua Bibliamba zhana capítulo.","Luego, pueden leer el pasaje bíblico en el que se basa el capítulo.","","",""
"raga",34,"dijo | jehova | gente | jesus | entonces","Jehovága Abrahán kaia: “Masha ushi manzhe urraga ingui manzhe kawandzina, kaiarru naia ushi raga mʉjtushisha awʉnga bigu mʉnaiʉnka”.","Luego, Dios le prometió: “Te convertirás en una gran nación. Y por medio de ti haré cosas buenas para la gente de toda la Tierra”.","","",""
"kangʉmamba",33,"tierra | jesus | jehova | dios | reino","Ima zhinzhoma shizhakʉndzega Biblia ingegua kʉ kangʉmamba, neshún nunkurra.","Esta publicación se distribuye como parte de una obra mundial de educación bíblica que se sostiene con donativos. Prohibida su venta.","","",""
"masha",33,"jehova | asi | dijo | dio | rey","Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.","","",""
"nawin",33,"dijo | jehova | jesus | galilea | aunque","Indzui zhʉnguashkʉ, Eva naki nukuashkʉ, shkua guma ashe nawin.","Un día, mientras Eva estaba sola, una serpiente habló con ella.","","",""
"tujkua",33,"oyo | escucho | jehova | voz | dijo","Saraga tujkuʉn nukuantka urragʉrgamdzi, mema tujkua ukuashkʉ, zhishima awantka guaka: “¿Nʉnai shkua gʉmtshina nʉjkʉnekʉnka imaki kʉgi nʉjkʉnzhʉnai?”.","Sara estaba escuchando dentro de la tienda y, al oírlos decir aquello, se rio para sus adentros y pensó: “¿De veras voy a tener un hijo a esta edad?”.","","",""
"atuna",32,"salio | casa | dijo | fuego | jehova","Mema guaka ukuemdzi mema kʉnzhakujtshʉnka guashi, guashisha awantka atuna awega shkua kumesa katshijkiamaka buiengua atununtka nunkuá.","Como señal de esa promesa, hizo que saliera un arcoíris en el cielo por primera vez.","","",""
"ijkua",32,"jehova | pueblo | daniel | salvar | dijo","Ukuemdzi, Jehovága kaia mʉjtsha awega arkarga bʉgui zhigawigandzina ijkua awega.","Además, Jehová le mandó meter en el arca muchos animales para que también se salvaran.","","",""
"ugunga",32,"jehova | dios | fe | hombre | jesus","namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"zhʉnguashkʉ",32,"dia | noche | dijo | filisteos | jesus","Indzui zhʉnguashkʉ, Eva naki nukuashkʉ, shkua guma ashe nawin.","Un día, mientras Eva estaba sola, una serpiente habló con ella.","","",""
"ijkʉnanzhe",31,"dios | baal | israelitas | dia | jehova","Bʉgui dziwa neka ukuemdzi, Noénzhe gʉmtshinandzina ingui ijkʉnanzhe menandzinawin bʉgui gʉmtshina kakʉnanantka.","Después del Diluvio, los hijos de Noé y sus esposas tuvieron muchos hijos.","","",""
"tshijtua",31,"vieron | jehova | jesus | encontraron | jose","nʉname, uguana, ñingui dzingoga, zhamaia ingui Kunkujshinawin dzasheka nʉname, anguneka ushi manzhe gʉmtshinandzina tshijtua awega ia Jehová dʉma kʉnʉnka ingui naka kʉ gʉntshujkuaga nʉnka, agʉñi kinki, naka ugunga kʉ go awantka, ingui nawingua","Resalte que Jehová creó a los seres humanos muy superiores a los animales, con la capacidad de conversar, razonar, inventar cosas, cantar y orar. Ayude a sus hijos a darse cuenta del poder y la sabiduría de Jehová y, sobre todo, del amor que siente por lo que ha creado, incluyendo a cada uno de nosotros.","","",""
"anzhʉngʉma",30,"hijo | dios | dijo | eres | jesus","Nʉnka shka, Adán, Evaie ingui anzhʉngʉma Caínie dzinunkua azhi dzineka awantka.","Algunas personas, como Adán, Eva y su hijo Caín, eligieron ponerse del lado del mal.","","",""
"bungengʉma",30,"ley | dios | jehova | dijo | esdras","Sacerdotendzina shizhakʉndziga dzinanantka Kunkujshinanzhe bungengʉma, nʉnka Kunkujshinaga angugantkandzina ashanuka nanantka gunamandzina.","Los sacerdotes enseñaban la Ley, y los jueces dirigían a la nación. Esta sección muestra que las decisiones y acciones de una persona pueden tener un profundo efecto en otros.","","",""
"angel",29,"angel | jehova | dijo | envio | gabriel","Kʉskʉna ángel Jehovága go ukua na angunekega.","El primer ángel que Jehová creó fue su ayudante.","","",""
"israelitandzinaga",29,"israelitas | jehova | moises | despues | dioses","Ukuemdzi, israelitandzinaga tua faraón nanzhe shka koshkandzinawin zhiwuarga kakʉjso dzinakʉn.","Después, los israelitas vieron que el faraón y su ejército venían siguiéndolos.","","",""
"ampʉjkangui",28,"enseguida | jesus | dijo | jehova | pedro","Noéga ampʉjkangui arca gaumpana awantka.","Noé se puso a construir el arca enseguida.","","",""
"anzhagi",28,"despues | años | jerusalen | tiempo | habian","Bʉgui dzuia anzhagi ukuemdzi Abrahán 99 kʉgi kʉnzhʉnguashkʉ ingui Sara 89 kʉgi kʉnzhʉnguashkʉ, maigua shkandzinaga tuʉn naia awantka.","Mucho tiempo después, cuando Abrahán tenía 99 años y Sara 89, tres personas fueron a visitarlos.","","",""
"kawandzina",28,"familia | jehova | hermanos | egipto | ir","Kawandzina bʉgui maigungurra:","Queridos hermanos:","","",""
"nukueku",28,"jesus | asi | jehova | apostoles | dijo","Dzimasha awantka urraga zukuega Urka kakʉnunkua ukuemdzi tshijkuan dzinaia awantka ingui urraga mʉkʉjsala gogumantka nukueku.","Habían dejado la buena casa que tenían en Ur para vivir en tiendas.","","",""
"terruandzina",28,"hombres | jehova | asi | jesus | moises","Ungunarga nainukuashkʉ, nanzhe iba kʉnekandzinaga uguia: “Manzhinguia Esaú nakʉn kimʉnuga nawikena 400 terruandzina inzhu”.","En el camino, unos sirvientes suyos vinieron a decirle: “Tu hermano Esaú viene hacia nosotros con 400 hombres”.","","",""
"tshujkuega",28,"jehova | gran | dios | oro | arbol","Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.","","",""
"dzinekantka",27,"hicieron | israelitas | jehova | dijo | dios","Bibliaga guaka bʉgui dziwa neka ukuemdzi makingʉma shka Kunkujshina kʉnduna dzinekantka.","La Biblia menciona a muy pocas personas que sirvieron a Dios durante los años posteriores al Diluvio.","","",""
"mau",27,"crees | jehova | dijo | imaginas | apostoles","¿Uguana mau inzhina zen zhigaguazhi dzinukuantka Jehová kʉzhindzintujkua ukuatʉjka?","¿Te imaginas qué contentos se sentirían por haber obedecido a Jehová?","","",""
"profeta",27,"profeta | jehova | baal | elias | profetas","Israelita kʉ nʉnkʉrga zhanandzinaga kagʉntsha nanantka Jehovága anguga awantka Samuel profeta nanega ingui guasheka nanega.","Los israelitas de todas partes del país sabían que Jehová había escogido a Samuel para ser profeta y juez.","","",""
"zhaguashekaga",27,"rey | despues | estatua | asi | banquete","Uguia ushi kakawa nanazhʉnga shkua zhaguasheka, awashkʉ mema zhaguashekaga ñingui bʉgui ashizhʉnka”.","Diles que pueden tener un rey, pero que ese rey les va a pedir muchas cosas”.","","",""
"zhinzhoma",26,"dios | libro | biblia | palabra | asi","Ima zhinzhoma shizhakʉndzega Biblia ingegua kʉ kangʉmamba, neshún nunkurra.","Esta publicación se distribuye como parte de una obra mundial de educación bíblica que se sostiene con donativos. Prohibida su venta.","","",""
"dumatua",25,"jehova | dijo | cuidara | isaac | jesus","Jehovága Adán kaia dumatua awʉnka mema kangʉma zukuega ingui zhigate awega zhigawigandzina.","Jehová le dijo a Adán que cuidara del jardín y que les pusiera nombre a todos los animales.","","",""
"maigua",25,"tres | hombres | tenia | amigos | años","Kʉnʉnka nanantka shkua mena ingui maigua gʉmtshina: Zhiganuka Sem, Cam ingui Jafet.","Se llamaba Noé. Tenía una esposa y tres hijos: Sem, Cam y Jafet.","","",""
"mʉgʉntsha",25,"sabes | jehova | jesus | dijo | entonces","¿Mʉgʉntsha nene nʉnka ángelndzina?","¿Sabes quiénes son los ángeles?","","",""
"apostolendzina",24,"apostoles | jesus | despues | estaban | carcel","Anguga awantka nanzhe apóstolendzina, awemdzi dzinzhaguashaiega nanʉn.","Seleccionó a sus apóstoles, que serían el fundamento del Reino.","","",""
