damana,espanol,lema,fuente,notas
maijkunanabi maimtún,ustedes no quieren tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanabi ijkamtún,ellos no quieren tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanuerru,si yo tengo...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanuerru,si tú tienes...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanuerru,si él tiene...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanuerru,si nosotros tenemos...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanuerru,si ustedes tienen...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanuerru,si ellos tienen...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanún nanuerru,si yo no tengo...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanún nanuerru,si tú no tienes...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanún nanuerru,si él no tiene...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanún nanuerru,si nosotros no tenemos...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanún nanuerru,si ustedes no tienen...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanún nanuerru,si ellos no tienen...,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanega,para yo tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanega,para tú tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanega,para él tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanega,para nosotros tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanega,para ustedes tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanega,para ellos tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanún nanega,para yo no tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanún nanega,para tú no tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanún nanega,para él no tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanún nanega,para nosotros no tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanún nanega,para ustedes no tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanún nanega,para ellos no tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nuka,estar (forma abreviada),estar,Nuka_Abreviada.pdf,
nukunga,estaré,estar,Nuka_Abreviada.pdf,
nukúnt nantga,no estaré,estar,Nuka_Abreviada.pdf,
mʉnukunka,estarás,estar,Nuka_Abreviada.pdf,
mʉnukúnt nantka,no estarás,estar,Nuka_Abreviada.pdf,
nukunka,estará (él o ella),estar,Nuka_Abreviada.pdf,
nukúnt nantka,no estará (él o ella),estar,Nuka_Abreviada.pdf,
nukunkurra,estaremos,estar,Nuka_Abreviada.pdf,
nukúnt nantkurra,no estaremos,estar,Nuka_Abreviada.pdf,
mʉnukunkua,estarán (ustedes),estar,Nuka_Abreviada.pdf,
mʉnukúnt mʉnuntkua,no están (ustedes),estar,Nuka_Abreviada.pdf,
yinukunka,estarán (ellos),estar,Nuka_Abreviada.pdf,
yinukúnt nantka,no estarán (ellos),estar,Nuka_Abreviada.pdf,
nʉjkʉbida,se me muere,morirse,Morir nivel 2 (PDF),
mʉjkʉbida,se te muere,morirse,Morir nivel 2 (PDF),
kʉbida,se le muere,morirse,Morir nivel 2 (PDF),
naijkʉbida,se nos muere,morirse,Morir nivel 2 (PDF),
maijkʉbida,se les muere (a ustedes),morirse,Morir nivel 2 (PDF),
kakʉbida,se les muere (a ellos),morirse,Morir nivel 2 (PDF),
naijkʉbida aunka,se nos morirá,morirse,Morir nivel 2 (PDF),
ranzhe kawa nʉjkʉbidá awantka,mi amigo se me murió,morirse,Morir nivel 2 (PDF),
uiemyi,desde (solo acciones del pasado),desde,Morir nivel 2 (PDF),
mbamyi,desde / de (procedencia de un lugar),desde,Morir nivel 2 (PDF),
na naka uiemyi naiungüi,desde que él vino no se ha ido,desde,Morir nivel 2 (PDF),
ra kinkuma uiemyi na ashai nuka,desde que yo llegué él está hablando,desde,Morir nivel 2 (PDF),
dzira risha uiemyi precursor nʉnka,desde que se bautizó es precursor,desde,Morir nivel 2 (PDF),
urragambamyi naka aunga,vendré desde la casa,desde,Morir nivel 2 (PDF),
ma albaimbamyi naka,tú vienes desde Valledupar,desde,Morir nivel 2 (PDF),
na tsheruambamyi naka,él viene de Tsherua,desde,Morir nivel 2 (PDF),
nawá nʉjkʉmakuma,me falla,fallar,Fallar.pdf,
nawá mʉjkʉmakuma,te falla,fallar,Fallar.pdf,
nawá kʉmakuma,le falla,fallar,Fallar.pdf,
nawá naijkʉmakuma,nos falla,fallar,Fallar.pdf,
nawá maijkʉmakuma,les falla (a ustedes),fallar,Fallar.pdf,
nawá kakʉmakuma,les falla (a ellos),fallar,Fallar.pdf,
mema shka nawá nʉjkʉmakuma awantka,esa persona me falló,fallar,Fallar.pdf,
ra nawá mʉjkʉmakumún nanga,yo no te voy a fallar,fallar,Fallar.pdf,
Jehová buiengua nawá naijkʉmakumún nantka,Jehová nunca nos fallará,fallar,Fallar.pdf,
nawiga Jehova nawá kʉmakuma wintka,no debemos fallarle a Jehová,fallar,Fallar.pdf,
tshui zhigunshisha,entristecer (a otra persona) / lo entristece,entristecer,Entristecer.pdf,
tshui nazhigunshisha,me entristece,entristecer,Entristecer.pdf,
tshui mazhigunshisha,te entristece,entristecer,Entristecer.pdf,
tshui naizhigunshisha,nos entristece,entristecer,Entristecer.pdf,
tshui maizhigunshisha,los entristece (a ustedes),entristecer,Entristecer.pdf,
azhi neka aunkurrerru Jehova tshui zhigunshisha aunkurra,si hacemos lo malo entristeceremos a Jehová,entristecer,Entristecer.pdf,
ra tshui mazhigunshishawi namsi,yo no te quiero entristecer,entristecer,Entristecer.pdf,
Jehová tshui zhigunshishawintka,no debemos entristecer a Jehová,entristecer,Entristecer.pdf,
zumé nʉnka neka aunkurrerru Jehová tshui zhigunshishún nantkurra,si hacemos cosas buenas no entristeceremos a Jehová,entristecer,Entristecer.pdf,
naiunazhirru,en vez de ir,en vez de,En_vez_de.pdf,regla: verbo terminado en -u + nazhirru
shindzunazhirru,en vez de aprender,en vez de,En_vez_de.pdf,regla: verbo terminado en -u + nazhirru
iba nekunazhirru,en vez de trabajar,en vez de,En_vez_de.pdf,regla: verbo terminado en -u + nazhirru
mema shka umba naka awantka meku naiunazhirru,esa persona vino aquí en vez de ir allá,en vez de,En_vez_de.pdf,regla: verbo terminado en -u + nazhirru
na dumegumʉnuka shindzunazhirru,él está jugando en vez de aprender,en vez de,En_vez_de.pdf,regla: verbo terminado en -u + nazhirru
na kʉwʉnuka iba nekunazhirru,ella está durmiendo en vez de trabajar,en vez de,En_vez_de.pdf,regla: verbo terminado en -u + nazhirru
awengua,aunque / a pesar de (se coloca junto al verbo de la circunstancia),aunque,AWENGUA_AUNQUE.pdf,
akuiangʉma nʉnka awengua dʉma atshukuaga,aunque es pequeño tiene fuerza,aunque,AWENGUA_AUNQUE.pdf,
aikuia nʉnka awengua gʉ zhʉnúnt,aunque es grande no pesa,aunque,AWENGUA_AUNQUE.pdf,
duga nʉnka awengua bʉgüi gʉtshukuaga,aunque es un niño sabe mucho,aunque,AWENGUA_AUNQUE.pdf,
zhinzhoma túa awengua shinyún,aunque estudia no aprende,aunque,AWENGUA_AUNQUE.pdf,
gʉtahukuaga awengua mema aún,aunque sabe no lo hace,aunque,AWENGUA_AUNQUE.pdf,
nʉjkasheshisha,me lee,leer,asheshisha_nivel_2.pdf,prefijo = a quién; sufijo = quién hace la acción
mʉjkasheshisha,te lee,leer,asheshisha_nivel_2.pdf,prefijo = a quién; sufijo = quién hace la acción
kasheshisha,le lee,leer,asheshisha_nivel_2.pdf,prefijo = a quién; sufijo = quién hace la acción
naijkasheshisha,nos lee,leer,asheshisha_nivel_2.pdf,prefijo = a quién; sufijo = quién hace la acción
maijkasheshisha,les lee (a ustedes),leer,asheshisha_nivel_2.pdf,prefijo = a quién; sufijo = quién hace la acción
ijkasheshisha,les lee (a ellos),leer,asheshisha_nivel_2.pdf,prefijo = a quién; sufijo = quién hace la acción
alazha,dañar,dañar,asheshisha_nivel_2.pdf,
nʉjkalazha,me daña,dañar,asheshisha_nivel_2.pdf,
mʉjkalazha,te daña,dañar,asheshisha_nivel_2.pdf,
kalazha,le daña,dañar,asheshisha_nivel_2.pdf,
naijkalazha,nos daña,dañar,asheshisha_nivel_2.pdf,
maijkalazha,les daña (a ustedes),dañar,asheshisha_nivel_2.pdf,
kakalazha,les daña (a ellos),dañar,asheshisha_nivel_2.pdf,
kʉgapazhi,acechar / lo acecha,acechar,Acechar_y_emborrachar.pdf,
nʉjkʉgapazhi,me acecha,acechar,Acechar_y_emborrachar.pdf,
mʉjkʉgapazhi,te acecha,acechar,Acechar_y_emborrachar.pdf,
naijkʉgapazhi,nos acecha,acechar,Acechar_y_emborrachar.pdf,
maijkʉgapazhi,los acecha (a ustedes),acechar,Acechar_y_emborrachar.pdf,
ijkʉgapazhi,los acecha (a ellos),acechar,Acechar_y_emborrachar.pdf,
kʉgapazhʉnegui namsi,quiero acecharlo,acechar,Acechar_y_emborrachar.pdf,
kʉgapashka,lo acecha (presente habitual),acechar,Acechar_y_emborrachar.pdf,
kʉgapazhuñí,no lo acecha,acechar,Acechar_y_emborrachar.pdf,
ugumta,emborracharse / él se emborracha / se emborrachan (ellos),emborracharse,Acechar_y_emborrachar.pdf,
nugumta,me emborracho,emborracharse,Acechar_y_emborrachar.pdf,
mugumta,tú te emborrachas,emborracharse,Acechar_y_emborrachar.pdf,
naigumta,emborracharnos (nosotros),emborracharse,Acechar_y_emborrachar.pdf,
maigumta,se emborrachan (ustedes),emborracharse,Acechar_y_emborrachar.pdf,
ugumtʉjkandzina,los borrachos,emborracharse,Acechar_y_emborrachar.pdf,
ugumtʉnegui amsi,quiere emborracharse,emborracharse,Acechar_y_emborrachar.pdf,
ugumtʉnegui amtʉjka,le gusta emborracharse,emborracharse,Acechar_y_emborrachar.pdf,
unaka,traer (a alguien un objeto),traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunaka,me trae,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunaka,te trae,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
kunaka,le trae,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunaka,nos trae,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunaka,les trae (a ustedes),traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
kakunaka,les trae (a ellos),traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
ra zhama mujkunaka aunga,te traeré comida,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
nabiga dzira maijkunaka aunkurra,nosotros les traeremos agua,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
zhama mujkunakanegui namsi,te quiero traer comida,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
dzira maijkunakanegui naimsi,les queremos traer agua,traer,UNAKA_NIVEL_3.pdf,fuente escribe u/ü donde otras fuentes usan ʉ
kena,donde (ubicación: donde alguien),donde,KENA.pdf,
Pedro kena,donde Pedro,donde,KENA.pdf,
ranzhadenyina kena,donde mis papás,donde,KENA.pdf,
ranzhe kawanyina kena,donde mi familia,donde,KENA.pdf,
¿Bigu mʉnainka? Ranzhe kawanyina kena,¿A dónde irás? A donde mi familia,donde,KENA.pdf,
¿Bigu manzhabu nuka? Ranzhabu tʉna kena,¿Dónde está tu mamá? Donde mi abuela,donde,KENA.pdf,
kashizha,orar,orar,orar.pdf,glosa en español inferida (la fuente no traía traducción)
Kunkujshina kashizhunkurra,oramos/oremos a Dios,orar,orar.pdf,glosa en español inferida (la fuente no traía traducción)
Kunkujshina kashizha kuaga,hay que orar a Dios,orar,orar.pdf,glosa en español inferida (la fuente no traía traducción)
Jehowa kashizhanegui namsi,quiero orar a Jehová,orar,orar.pdf,glosa en español inferida (la fuente no traía traducción)
nunaka,me trae,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
munaka,te trae,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
unaka,lo trae / los trae (a ellos),traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
naiunaka,nos trae,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
maiunaka,los trae (a ustedes),traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
Josega patillal nunaka,José me trajo a Patillal,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
nabiga munaka aunkurra,nosotros te traeremos,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
mabiga naiunaka maúnkua,ustedes nos traerán,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
ra munakanegui namsi,yo te quiero traer,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
nabiga maiunakanegui naimsi,nosotros los queremos traer a ustedes,traer (persona),UNAKA_NIVEL_2.pdf,uso: traer a una persona (en vehículo o guiándola)
nunaia,me lleva,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
munaia,te lleva,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
unaia,lo lleva / los lleva (a ellos),llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
naiunaia,nos lleva,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
maiunaia,los lleva (a ustedes),llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
raga munaia aunga,yo te llevaré,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
maka nunaia maunka,tú me llevarás,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
munaianegui namsi,yo te quiero llevar,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
nunaianegui mimsi,tú me quieres llevar,llevar (persona),UNAIA_FORMA_1_y_2.pdf,uso: llevar a una persona a un lugar (en vehículo o guiándola)
nujkunaia,me lleva (algo),llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
mujkunaia,te lleva (algo),llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
kunaia,le lleva (algo),llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
naijkunaia,nos lleva (algo),llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
maijkunaia,"les lleva (algo, a ustedes)",llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
kakunaia,"les lleva (algo, a ellos)",llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
zhama mujkunaia aunga,te llevaré comida,llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
zhama nujkunaia maunka,me llevarás comida,llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
zhama mujkunaianegui namsi,te quiero llevar comida,llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
zhama nujkunaianegui mimsi,me quieres llevar comida,llevar (objeto),UNAIA_FORMA_1_y_2.pdf,uso: llevarle un objeto a alguien
ukuashka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,"todos los pronombres; pasado, por lo general lejano"
uiashka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,"todos los pronombres; pasado, por lo general cercano"
awanshka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,todos los pronombres; presente y futuro
aungashka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,solo con el pronombre ra (yo); futuro
mawanshka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,solo con el pronombre ma (tú)
aunkurrashka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,solo con el pronombre nabi (nosotros); futuro
maunkuashka,cuando,cuando,UKUASHKA_INTERPRETES.pdf,solo con el pronombre mabi (ustedes); futuro
ra akauga,yo regalo,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra akaúnt narga,yo no regalo,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉakoka,tú regalas,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉakaúntka,tú no regalas,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na akoka,él regala,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na akaúntka,él no regala,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi akaukurra,nosotros regalamos,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi akaúnt nunkurra,nosotros no regalamos,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉkokua,ustedes regalan,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉakaúntkua,ustedes no regalan,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ijkʉna yakoka,ellos regalan,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ijkʉna yakaúntka,ellos no regalan,regalar (akawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra gaúga,yo hago,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra gaúnt narga,yo no hago,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉngoka,tú haces,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉngaúntka,tú no haces,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na goka,él hace,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na gaúntka,él no hace,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi gokurra,nosotros hacemos,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi gaúnt nunkurra,nosotros no hacemos,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉngokua,ustedes hacen,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉngaúntkua,ustedes no hacen,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ijkʉna yingoka,ellos hacen,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ijkʉna yingaúntka,ellos no hacen,hacer (gawa),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra kuauga,yo vivo,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra kúnt narga,yo no vivo,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉnkuaga,tú vives,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉnkúntka,tú no vives,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na kuaga,él vive,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na kúntka,él no vive,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi kuagurra,nosotros vivimos,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi kúnt nunkurra,nosotros no vivimos,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉnkuaguá,ustedes viven,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉnkúnt mʉnunkua,ustedes no viven,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ijkʉna tshikuaga,ellos viven,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ijkʉna tshikúntka,ellos no viven,vivir (kuai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra ashaiúga,yo hablo,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ra ashaiúnt narga,yo no hablo,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉsheka,tú hablas,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
ma mʉshaiúntka,tú no hablas,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na asheka,él habla,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
na ashaiúntka,él no habla,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi ashekurra,nosotros hablamos,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
nabi ashaiúnt nunkurra,nosotros no hablamos,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
mabi mʉshekua,ustedes hablan,hablar (ashai),PRESENTE_HABITUAL_PARTE_2.pdf,presente habitual
