fuente,damana,espanol,notas
Frases (lista),Kunkujshinanzhe bunguingʉmamba zidua sakakuaga,Explorar la palabra de Dios,fuente escribe ū
Frases (lista),Nʉnai agʉñi azhʉngandzina sakakuaga,Explorar las verdades más profundas,fuente escribe ū
Frases (lista),Ʉnkʉguanakuaga ñi kunkujshinaga nekʉnegui amsi,Hay que reflexionar en el propósito de Dios,fuente escribe ū
Frases (lista),Uguana ukuzhi awemdzi inzhina kuankurra,Pensemos en nuestro futuro,
Frases (lista),Kantshikiamaka tua ukuzhi,Levantemos la mirada al cielo,
Frases (lista),Zen zhiguazhi kunkujshinanzhe bunguingʉmamba saka ukuzhi,Disfrutar explorando la palabra de Dios,fuente escribe ū
Frases (lista),Nawinguanzi zhiguanakuaga,Hay que amarnos entre nosotros,
Frases (lista),Zhaguanama zhatujshishakuaga,Hay que demostrar amor,
Frases (lista),Nawi ʉnkamedakuaga,Debemos perdonarnos,fuente escribe ū
Frases (lista),Dumakaiaguaka,Debemos consolar,
Frases (lista),Awazhi,Vómito,
