fuente,damana,espanol,notas
Frases (lista),Kunkujshinanzhe bunguingʉmamba zidua sakakuaga,Explorar la palabra de Dios,fuente escribe ū
Frases (lista),Nʉnai agʉñi azhʉngandzina sakakuaga,Explorar las verdades más profundas,fuente escribe ū
Frases (lista),Ʉnkʉguanakuaga ñi kunkujshinaga nekʉnegui amsi,Hay que reflexionar en el propósito de Dios,fuente escribe ū
Frases (lista),Uguana ukuzhi awemdzi inzhina kuankurra,Pensemos en nuestro futuro,
Frases (lista),Kantshikiamaka tua ukuzhi,Levantemos la mirada al cielo,
Frases (lista),Zen zhiguazhi kunkujshinanzhe bunguingʉmamba saka ukuzhi,Disfrutar explorando la palabra de Dios,fuente escribe ū
Frases (lista),Nawinguanzi zhiguanakuaga,Hay que amarnos entre nosotros,
Frases (lista),Zhaguanama zhatujshishakuaga,Hay que demostrar amor,
Frases (lista),Nawi ʉnkamedakuaga,Debemos perdonarnos,fuente escribe ū
Frases (lista),Dumakaiaguaka,Debemos consolar,
Frases (lista),Awazhi,Vómito,
Preguntas para conversar,¿Inzhina mʉnushi?,¿Cómo estás?,
Preguntas para conversar,¿Ñi aumʉnushi?,¿Qué estás haciendo?,
Preguntas para conversar,¿Bigunzhana?,¿De dónde eres?,
Preguntas para conversar,¿Sʉntaluamba masheka?,¿Hablas español?,
Preguntas para conversar,¿Inzhina zhigaminuka?,¿Cómo te llamas?,
Preguntas para conversar,Ra (nombre) zhigananuka,Me llamo (nombre),
Preguntas para conversar,¿Bint mʉneka?,¿Para dónde vas?,
Preguntas para conversar,¿Bigu mʉnainka?,¿Para dónde vas?,forma alternativa
Preguntas para conversar,¿Bigumdzi naka mʉnushi?,¿De dónde vienes?,
Preguntas para conversar,¿Ñimba mʉnakʉnka?,¿Qué día vas a venir?,
Preguntas para conversar,¿Bióndzui?,¿Cuántos días?,
Preguntas para conversar,¿Buie naká muie?,¿Cuándo viniste?,
Preguntas para conversar,¿Buie nakʉnka?,¿Cuándo vendrá?,
Preguntas para conversar,¿Bion zhaneka mʉnainka?,¿A qué hora te vas?,
Preguntas para conversar,¿Buie margunka?,¿Cuándo subirás?,
Preguntas para conversar,¿Buie mʉiunʉnka?,¿Cuándo bajarás?,
Preguntas para conversar,¿Nene wint mʉnushi?,¿Con quién estás?,
Preguntas para conversar,¿Nene manzhade?,¿Quién es tu papá?,
Preguntas para conversar,¿Nene manzhabu?,¿Quién es tu mamá?,
Preguntas para conversar,¿Terrua mʉjkʉnʉnka?,¿Tienes esposo?,
Preguntas para conversar,¿Mena mʉjkʉnʉnka?,¿Tienes esposa?,
Vocabulario fe (editado),kawanyina,hermanos,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),binkumungurramba,en las reuniones,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),we ugunga,fe,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),na we ugunga,él es una persona de fe,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi we ugungurra,nosotros tenemos fe,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabiga Kunkujshina we uguana kuaga,debemos tener fe en Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Kunkujshinaga nainguneka we uguanega,Dios nos ayuda a tener fe,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga anduna nabi namba we uguana kuaga,Jehová quiere que tengamos fe en él,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),naka Kunkujshina we ugunga,él tiene fe en Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),na we ugunga Kunkujshina ikuia zukuega aúnka,él tiene fe en las promesas de Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi we ugungurra Kunkujshina ikuia zukuega aúnka,tenemos fe en las promesas de Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Abraham bugüi we ugunga nanantka,la fe de Abraham era fuerte,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),israelitanyina makinguma we yaugunga nanantka,la fe de los israelitas estaba débil,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabiga we uguana aunkurrerru uguanunkurra Kunkujshinaga nabitijka ikuia zukuega kungüi aúnka,si tenemos fe estaremos seguros de que Dios cumplirá sus promesas,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),"dzuianzhingüi Kunkujshinanzhe zhinzhoma asheshisha aunkurrerru, bugüi we uguanunkurra",fortaleceremos nuestra fe leyendo regularmente la palabra de Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),ima Kunkujshinanzhe zhinzhomamba nuka nainguneka aguñi we uguanega,este relato bíblico fortalece nuestra fe,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),"shkanyina Jehowa uguanúntkanyina bin ujkuminsha nunkurrerru, nabi we uguanúnt nantkurra",las malas compañías debilitan nuestra fe,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabiga Jesús we ugungurra,tenemos fe en Jesús,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),"nabi bidabi naimtúmt nanuerru, ujkuminsha kuanegui naimtuerru, nabi Jesus we uguana kuaga",para salvarnos debemos tener fe en Jesús,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),bugüi shkanyina yauguanúntka Kunkujshinaga terrua gontka,mucha gente no cree que Dios creó al hombre,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),naka nanzhe kawanyina ijkagunga,él quiere a su familia,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),na binkumanegui amtijka,a él le encanta asistir a las reuniones,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi Kunkujshinanzhe zhinzhoma naindunga,a nosotros nos encanta la palabra de Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),binkumanegui naintijka,nos gusta reunirnos,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),binkuma awakuaga,debemos reunirnos,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),na dzuiki ugunga,él ama el dinero,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi dzuiki bugüi uguana bintka,no debemos amar el dinero,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),naka Kunkujshinanzhe zhinzhoma asheshishanegui amtijka,a él le gusta leer la Biblia,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi Kunkujshinanzhe zhinzhoma asheshishanegui naimtijka,a nosotros nos gusta leer la Biblia,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabiga uguana kuaga Kunkujshinaga ugunga,debemos amar lo que Dios ama,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga shkanyina she kuai nukanyina ijkangunekanegui amtijka,Jehová es misericordioso,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),ijkuna azhi yazhigunga,ellos se odian,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Kunkujshina andunúntka nabi mema ja uguana kuaga,debemos odiar lo que Dios odia,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga dumunaijtuka,Jehová nos cuida,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga kungüi naikoka,Jehová nos da todas las cosas,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga gutshukuaga ñi nawa naijkuneka,Jehová conoce todo lo que necesitamos,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga buiengua naimashúntka,Jehová no nos abandona,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga naintujkuka,Jehová nos escucha,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jehowaga shinaijkunyika nabi zumé kuaiega,Jehová nos enseña para nuestro propio bien,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jesus nabitijka bida awantka,Jesús murió por nosotros,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),Jesuga bidantkanyina kujpinshantka ingüi shkanyina ukuama ijkamtujkuanyina kúkua awantka,Jesús resucitó a los muertos y curó a los enfermos,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi shinya kuaga inzhina Jehowa nunka ingüi inzhina Jesús nunka,debemos conocer a Dios y a Jesús,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabiga Kunkujshinanzhe zhinzhoma nujkúa aunkurrerru mula kuankurra,nuestra vida depende de la palabra de Dios,fuente escribe u/ü donde otras fuentes usan ʉ
Vocabulario fe (editado),nabi dzira risha awakuaga,debemos bautizarnos,fuente escribe u/ü donde otras fuentes usan ʉ
