palabra_espanol,frecuencia_en_corpus,ejemplo_espanol,ejemplo_damana,damana_propuesto,notas
"hombres",41,"Para poder tener cuerpos de hombres y casarse con mujeres.","Terruandzinaie dzinanega ingui menawin andzinguga awega.","",""
"abrahan",39,"Entre ellas estaba Abrahán, a quien se le conoció como amigo de Jehová.","Memamba nukuantka ingui terrua Abrahán zhiganuka, Jehovánzhe kawa nanantka.","",""
"apostoles",39,"Seleccionó a sus apóstoles, que serían el fundamento del Reino.","Anguga awantka nanzhe apóstolendzina, awemdzi dzinzhaguashaiega nanʉn.","",""
"respondio",37,"Eva le respondió: “Podemos comer cualquier fruta, menos la de un árbol. Si comemos la de ese árbol, nos moriremos”.","Evaga gʉgaso: “Ga awazhingurra kʉ kʉnzhiwa, awashkʉ shkuaki kʉnzhiwa kʉnzhe gón nanazhingurra. Ga aunkurrerru mema kʉnzhe kʉnzhiwa, wida aunkurra”.","",""
"jose",37,"Jacob tenía 12 hijos: Rubén, Simeón, Leví, Judá, Dan, Neftalí, Gad, Aser, Isacar, Zabulón, José y Benjamín.","Jacob 12 gʉmtshina kʉnanantka: Rubén, Simeón, Leví, Judá, Dan, Neftalí, Gad, Aser, Isacar, Zabulón, José ingui Benjamín.","",""
"personas",36,"Esta publicación nos permite ver que la Biblia es un libro que nos habla de personas: las que obedecieron a Jehová y las que desobedecieron. También nos ayuda a aprender lecciones del ejemplo que nos dan esos personajes (Romanos 15:4; 1 Corintios 10:6).","Ima zhinzhomaga naijtushisha uka ia Bibliaga guaka uka shka Jehová kʉzhintujkua awantkandzina ingui kʉzhintujkuñí ukuandzinangua ingui nainguneka uka shindza awega shka Bibliamba zhanandzinanzhe (Romanos 15:4; 1 Corintios 10:6).","",""
"david",36,"Años después, Obed fue el abuelo del rey David.","Kʉgi anzhagi ukuemdzi, Obed nanantka David zhaguashekanzhe anzhade tʉna.","",""
"pedro",35,"Génesis 13:1-13; 19:1-26; Lucas 17:28, 29, 32; 2 Pedro 2:6-9.","Génesis 13:1-13; 19:1-26; Lucas 17:28, 29, 32; 2 Pedro 2:6-9.","",""
"discipulos",34,"Sus discípulos recordaron lo que decía la profecía sobre el Mesías: “Sentiré mucho respeto por la casa de Jehová”.","Nanzhe discípulundzinaga zhigʉntunsha dzawantka Bibliaga guaka Mesías ingegua: “Jehovánzhe urraga bʉgui anzhʉnga nʉnka ranzhe”.","",""
"juan",33,"Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","",""
"faraon",33,"Mientras José estaba en la cárcel, el faraón, rey de Egipto, tuvo unos sueños que nadie podía entender.","José gumʉkʉndzinuka nukuashkʉ zhaguasheka faraón, Egipto zhana, kʉwarga anzhʉn awantka nenegangua kintujkuawí nʉnka.","",""
"ciudad",32,"No muy lejos de Babel había otra ciudad, que se llamaba Ur.","Babel kushamke awa nanantka shka kuagʉrga zhiganuka Ur.","",""
"templo",31,"Un día, miles de filisteos se reunieron en el templo de su dios Dagón.","Indzui zhʉnguashkʉ, bʉgui filisteundzina dzʉnkʉwinkuma awantka ingui templumba ijkʉnanzhe kunkujshina Dagón nukuamba.","",""
"israel",30,"Allí Jehová hizo un pacto con Israel para que fuera su nación especial.","Mimi Jehová zhigʉnishi nekantka Israelwin nanzhe shkandzina anzhʉnga nanega.","",""
"reino",30,"Samuel le dijo a Saúl: “Así te va a arrancar Jehová el reino”.","Samuel zhituna ukuemdzi naiega ukuashkʉ, Saúlga apana awantka nanzhe mʉkʉjsalamba, ukuemdzi zhisʉ awantka.","",""
"angel",29,"El primer ángel que Jehová creó fue su ayudante.","Kʉskʉna ángel Jehovága go ukua na angunekega.","",""
"queria",29,"Jehová les dijo a Adán y Eva que tuvieran muchos hijos y llenaran la Tierra. Quería que fueran felices trabajando juntos para convertir laTierra en un paraíso.","Jehovága Adán Eva kaia bʉgui gʉmtshina maikʉnanʉnka kangʉmamba. Jehovága andunantka zen zhigaguazhi dzinukuega, zhintshijki iba dzinekega kangʉma agʉñi zukuega zhitunsha awega.","",""
"saul",29,"Esta sección narra la vida del rey Saúl y del rey David, y abarca unos 80 años.","Ima kʉnkua shizhakʉndzigaga naiguinka zhanekantka 80 kʉgi zhaguasheka Saúl ingui zhaguasheka David tshijkuaguashkʉ.","",""
"pregunto",28,"Le preguntó: “¿Es verdad que Dios no les deja comer de todos los árboles?”.","Ashizha: “¿Nʉnai Kunkujshinaga gan mainguashishún nʉnka kʉ kʉnzhiwa kʉndzinanzhe?”.","",""
"puso",28,"Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.","Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","",""
"samuel",28,"Destaque la influencia que tuvieron Débora, Noemí, Josué, Ana, la hija de Jefté y Samuel en su comunidad.","Kʉngui israelitandzinangua ñingui kʉnzhakujtsha dzinekʉnka Jehováwin ingui ʉndua shkandzinawin.","",""
"empezo",27,"Así que la Tierra empezó a producir diferentes tipos de frutas, verduras y flores.","Memé nunkuame kangʉmamba jinumpana bʉgui zhama, kʉnzhiwandzina ingui shomandzinangua.","",""
"daniel",27,"Rescató a Sadrac, Mesac y Abednego de un horno de fuego, y libró a Daniel de que se lo comieran los leones.","Ijkua awantka Sadrac, Mesac ingui Abednego gembamdzi ingui ijkua awantka Daniel dumagaga gaiega kʉzhiwasi dzukuashkʉ.","",""
"envio",25,"La familia de Jacob se quedó otra vez sin alimento, y él envió de nuevo a sus hijos a Egipto.","Jacobnzhe kawandzina ingui zhama singuintka dzimakuma awantka, memé nunkuame nanzhe gʉmtshinandzina angasha awantka ingui Egipto.","",""
"elias",25,"Envió al profeta Elías para darle un mensaje a Acab.","Angasha awantka profeta Elías ingui bungengʉma uguia awega Acabga.","",""
"fuera",24,"LECCIONES IMPORTANTES˛ Jehová y su Hijo hicieron la Tierra para que fuera nuestro hogar.","SHIZHAKʉNDZIGA BʉGUI ANZHʉNGANDZINA ˛ Jehová anzhʉngʉmawin kangʉma dzingo awantka nawinzhe urragaie nanega.","",""
"todas",24,"Él hizo todas las cosas: las que vemos y las que no vemos.","Naka kʉ ñingui gontka, ñingui tua ukurra ingui tún nunkurrawin.","",""
"oro",24,"Por eso le oró a Jehová: “Por favor, sálvame de mi hermano”.","Memé nunkuame Jehovága kashizha awantka: “Tshui nuguana, nijkua ushi ranzhinguiambamdzi”.","",""
"hicieron",23,"LECCIONES IMPORTANTES˛ Jehová y su Hijo hicieron la Tierra para que fuera nuestro hogar.","SHIZHAKʉNDZIGA BʉGUI ANZHʉNGANDZINA ˛ Jehová anzhʉngʉmawin kangʉma dzingo awantka nawinzhe urragaie nanega.","",""
"jacob",23,"Al igual que Abrahán y otros siervos fieles, como Lot y Jacob, podemos pedirle a Jehová con toda libertad que nos ayude, confiando en que él cumplirá todas sus promesas.","Abrahán Lot ingui Jacobie, nawigangua Jehovága ashizha awazhingurra nainguneka awega, we uguanunkurra ñingui naka guaka awantka kʉnzhakujtsha awʉnka.","",""
"siguiente",22,"Lo veremos en el siguiente capítulo.","Tua aunkurra ʉndua capitulumba.","",""
"mientras",22,"Un día, mientras Eva estaba sola, una serpiente habló con ella.","Indzui zhʉnguashkʉ, Eva naki nukuashkʉ, shkua guma ashe nawin.","",""
"nabucodonosor",22,"El rey de Babilonia, Nabucodonosor, iba conquistando una nación tras otra.","Zhaguasheka Babilonia zhana Nabucodonosorga, bʉgui kʉjsʉnkʉngo awantka ciudadndzina.","",""
"maria",22,"El ángel Gabriel visita a María","Ángel Gabrielga tuʉn naia uka María","",""
"adorar",21,"Así ellos también podrán adorar a Jehová y ser miembros de su amada familia.","Memé dzinekuwerru Jehová kʉnduna dzawazhʉnga awerru Jehovánzhe kawa dzineka awʉnka.","",""
"habian",21,"Les preguntó por qué habían sido desobedientes. Eva le echó la culpa a la serpiente, y Adán culpó a Eva.","Ashizha inzhué nunkuame zhintujkuntkandzina dzinʉnka. Evaga guaka guma kʉnzhʉnga, ukuashkʉ Adánga guaka Eva kʉnzhʉnga.","",""
"egipto",21,"Cuando llegaron a Egipto, un oficial importante llamado Potifar compró a José para que fuera su esclavo.","Egipto dzakinkumá ukuashkʉ, ingui terrua bʉgui anzhʉnga zhiganuka Potifar, memaga José shana awantka nanzhe iba kʉneka nanega.","",""
"ejercito",21,"Después, los israelitas vieron que el faraón y su ejército venían siguiéndolos.","Ukuemdzi, israelitandzinaga tua faraón nanzhe shka koshkandzinawin zhiwuarga kakʉjso dzinakʉn.","",""
"miedo",20,"Jacob tenía miedo de que Esaú quisiera hacerles daño a él y a su familia.","Jacob zen kʉnashi nukuantka Esaúga wandua awʉnka zhigunguashkʉ na igui nanzhe kawandzinawin.","",""
"josue",20,"Entre ellos iban Josué y Caleb.","Ijkʉnawin nainukuantka Josué Calebwin.","",""
"vida",19,"Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","",""
"tan",19,"La Biblia comienza con el relato de la creación física, que nos habla de las cosas tan bonitas que Jehová hizo en el cielo y en la Tierra.","Bibliaga naiguiumpana uka ñingui zukuega nekantka Kunkujshina katshijkiamaka ingui kangʉmamba.","",""
"caso",19,"Pero Caín no le hizo caso.","Ukuashkʉ Caín zhintujkuñí awantka.","",""
"toda",19,"Así que decidió destruir a los malos trayendo un diluvio, una lluvia muy fuerte que llenó de agua toda la Tierra.","Memé nunkuame dzui ʉnkanguga ukuemdzi kangʉmamba bʉgui dziwa nekʉn guashisha, shka azhi nʉnkandzina iʉl asisa awega.","",""
"sabes",18,"¿Sabes quiénes son los ángeles?","¿Mʉgʉntsha nene nʉnka ángelndzina?","",""
"llamado",18,"Jehová plantó un jardín en un lugar llamado Edén.","Jehovága go ingui kangʉma zukuega, zhiganuka Edén.","",""
"esposa",18,"Así que hizo que Adán se quedara bien dormido y usó una de sus costillas para hacerle una esposa.","Jehovága Adán kʉwanshisha awantka, ingui kʉjkʉla awʉrrʉ awantka nanzhe manambamdzi shkua mena kʉngo awega.","",""
"mando",18,"Jehová le mandó a Noé construir un arca, que era una gran caja de madera que podía flotar en el agua.","Jehovága Noé kaia shkua arca go awega, kʉn gogumantka nanʉnka dziwa bʉgui nekuwanshkʉ dziramba mʉjtún nanuai.","",""
"hacia",18,"Al día siguiente, temprano en la mañana, Abrahán se llevó a Isaac y a dos sirvientes hacia Moria.","Ashʉnka dzuiamba bukuengʉmangui Abrahánga une awantka Isaac ingui moa na iba kʉnekandzina Moriaka.","",""
"juda",18,"Jacob tenía 12 hijos: Rubén, Simeón, Leví, Judá, Dan, Neftalí, Gad, Aser, Isacar, Zabulón, José y Benjamín.","Jacob 12 gʉmtshina kʉnanantka: Rubén, Simeón, Leví, Judá, Dan, Neftalí, Gad, Aser, Isacar, Zabulón, José ingui Benjamín.","",""
"adan",17,"Luego, Dios hizo al primer hombre, Adán.","Ukuemdzi Kunkujshinaga go kʉskʉnangui terrua, Adán.","",""
"tuvo",17,"La mayoría de la gente se hizo tan mala que Jehová tuvo que acabar con aquel mundo malvado.","Bʉgui shkandzina azhi nʉnka zhintshijtuna ukuambarru Jehovága asisakuaga kʉnzhanantka.","",""
"podia",17,"Jehová no podía dejar que eso siguiera pasando.","Jehovága mashuñí awantka meménguazi zhanekʉn nukuega.","",""
"iba",17,"Durante esos años, Noé avisó a la gente de que iba a venir el Diluvio, pero nadie le hizo caso.","Mema dzingawuʉn nukuashkʉ Noéga uguia awantka shkandzinaga dziwa bʉgui nekʉnka, ukuashkʉ nenegangua tujkuñí awantka.","",""
"final",17,"Al final, el arca se quedó quieta encima de una montaña.","Ukuashkʉ arca makuma awantka shimurruangʉnamba.","",""
"pidio",17,"Preguntas: ¿Qué le pidió Jehová a Abrahán que hiciera?","Zhishizha: ¿Ñi ashizha awantka Jehovága Abrahánga neka awega?","",""
"momento",17,"En ese momento, el ángel de Jehová dijo desde el cielo: “¡Abrahán!","Ukuashkʉ, Jehovánzhe ángelga kaia katshijkiamargamdzi: “¡Abrahán!","",""
"aaron",17,"Jehová le prometió: “Yo te diré lo que debes decir y, además, enviaré a tu hermano Aarón para que te ayude”.","Jehovága kaia: “Raga muguia awʉnga ñi mʉnguakʉnka, ingui manzhe kawa Aarón angashʉnga mingunekega”.","",""
"salomon",17,"Salomón todavía es joven, pero yo lo voy a ayudar preparándolo todo”.","Memé nunkuame Davidga ñingui sakumpana awantka Salomónga kawanekʉnka ukuemdzi guaka: “Jehovánzhe urraga anzhʉnga nanʉnka.","",""
"muchas",16,"Este jardín tenía muchas flores, árboles y animales.","Ima kangʉma zukuega bʉgui shoma kʉnʉnka nanantka, kʉndzinawin ingui zhigawigandzinawin.","",""
"llamaba",16,"Se llamaba Eva. Adán y Eva fueron la primera familia.","Zhiganuka Eva. Adán ingui Evawin minshangui kawandzina dzinanantka.","",""
"eva",16,"Se llamaba Eva. Adán y Eva fueron la primera familia.","Zhiganuka Eva. Adán ingui Evawin minshangui kawandzina dzinanantka.","",""
"debemos",16,"˛ Debemos ser pacíficos, no violentos como el Diablo y sus seguidores.","˛ Koshka nanún nantkurra, azhi nʉnka nanún nantkurra ijkʉnushie ñi nanzhe shkandzinaie.","",""
"ademas",16,"Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.","Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","",""
"enseguida",16,"Noé se puso a construir el arca enseguida.","Noéga ampʉjkangui arca gaumpana awantka.","",""
"empezaron",16,"Como ya no podían entenderse, detuvieron la construcción y empezaron a irse de allí para vivir en otras partes de la Tierra.","Dzantujkuawí nunkuambarru, dzimasha awantka torre dzingawi ukuemdzi dzinaia awantka ʉnduarga tshijkuan.","",""
"crees",16,"¿Crees que habría alguien que todavía amara a Jehová?","¿Uguana mau nenenguazi awa nanantka Jehová ugunga?","",""
"aunque",16,"Porque Abrahán hizo todo lo que Jehová le pidió, aunque no entendiera por qué se lo había pedido.","Abrahán neka ukuame kʉ Jehovága ashizha ukua, gʉntshujkún nunkuengua inzhué ashizhantka.","",""
"murio",16,"Al final, los israelitas atacaron Moab, y Balaam murió.","Ukuemdzi israelitandzinaga asisa awantka Moab, meku Balaam wida awantka.","",""
"tener",15,"Se puede usar el mismo método para ayudar a un adulto a tener una idea general del mensaje de la Biblia.","Ima zhinzhomagangua anguneka awazhʉnga shkandzinaga kagʉntuna awega bunguingʉma zukuega Biblianzhe.","",""
"fuego",15,"Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.","Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","",""
"fuerte",15,"Así que decidió destruir a los malos trayendo un diluvio, una lluvia muy fuerte que llenó de agua toda la Tierra.","Memé nunkuame dzui ʉnkanguga ukuemdzi kangʉmamba bʉgui dziwa nekʉn guashisha, shka azhi nʉnkandzina iʉl asisa awega.","",""
"todavia",15,"Pero, como todavía había mucha agua fuera, Noé y su familia no pudieron salir del arca por un tiempo.","Bʉgui dzira ujkunarga awa nunkuame, Noé ingui nanzhe kawandzinawin antshijtunawí nanantka arkambamdzi.","",""
"promesa",15,"Como señal de esa promesa, hizo que saliera un arcoíris en el cielo por primera vez.","Mema guaka ukuemdzi mema kʉnzhakujtshʉnka guashi, guashisha awantka atuna awega shkua kumesa katshijkiamaka buiengua atununtka nunkuá.","",""
"llevo",15,"Al día siguiente, temprano en la mañana, Abrahán se llevó a Isaac y a dos sirvientes hacia Moria.","Ashʉnka dzuiamba bukuengʉmangui Abrahánga une awantka Isaac ingui moa na iba kʉnekandzina Moriaka.","",""
"job",15,"En esta sección, leeremos la historia de José, Job, Moisés y los israelitas.","Ima kʉnkua zhinzhomanzhemba, asheshisha aunkurra José, Job, Moisés ingui israelitandzina ingegua.","",""
"santo",15,"Quítate las sandalias porque estás pisando suelo santo”.","Kʉjsokua zhiwʉrrʉ ushi zhatanʉn mʉnuka kangʉma zukuegamba”.","",""
"profeta",15,"Débora era una profetisa, o sea, una mujer profeta.","Débora nanantka shkua mena guaka Kunkujshinaga uguia uka.","",""
"jonas",15,"Jehová es paciente con Jonás","Jehová mʉlame kumatununtka Jonáswin","",""
"sabia",14,"Él sabía que iban a morir si desobedecían a Dios, pero de todas maneras comió.","Naka gʉntsha nanantka dziwidʉnka Kunkujshina kʉzhindzintujkuñí dzawerru, ukuashkangua ga awantka.","",""
"gran",14,"Jehová le mandó a Noé construir un arca, que era una gran caja de madera que podía flotar en el agua.","Jehovága Noé kaia shkua arca go awega, kʉn gogumantka nanʉnka dziwa bʉgui nekuwanshkʉ dziramba mʉjtún nanuai.","",""
"prometio",14,"A Jehová le gustó esa ofrenda, y prometió que jamás volvería a destruir lo que hay sobre la Tierra con un diluvio como ese.","Jehovága anduna awantka mema ñingui antshijkawa ukua, memé nunkuame guaka awantka buiengua agʉñi memé asisún nanga kʉ kangʉmamba kuaga dziwa bʉgui neshiwin.","",""
"tenian",14,"Pero Abrahán y Sara ya eran mayores y no tenían hijos.","Ukuashkʉ Abrahán ingui Sara tʉna dzinanantka ingui gʉmtshina kakʉnanuntka.","",""
"tienes",14,"Ahora sé que tienes fe en Dios, porque estuviste dispuesto a sacrificar a tu hijo”.","Iwa nʉgʉntuna we Kunkujshina mugunga, nukua awamka manzhʉngʉma guaga awega”.","",""
"voz",14,"Cuando Moisés se acercó a ver qué pasaba, oyó una voz que salía del arbusto.","Moisés mema kushaka naia awantka tua awega ñi zhanekʉnuka, tujkua awantka bunguingʉma asheka kʉn gʉmambamdzi.","",""
"ley",14,"Si usted tiene hijos, ayúdelos a entender por qué Jehová dio a los israelitas la Ley, el tabernáculo y el sacerdocio.","Ma gʉmtshina mʉkawa nʉnerru, anguneka ushi kintujkua awega inzhué nunkuame Jehovága kaia israelitandzina ñi dzinekʉnka, ingui ijkakawa awantka tabernáculo sacerdociowin.","",""
"tabernaculo",14,"Si usted tiene hijos, ayúdelos a entender por qué Jehová dio a los israelitas la Ley, el tabernáculo y el sacerdocio.","Ma gʉmtshina mʉkawa nʉnerru, anguneka ushi kintujkua awega inzhué nunkuame Jehovága kaia israelitandzina ñi dzinekʉnka, ingui ijkakawa awantka tabernáculo sacerdociowin.","",""
"judios",14,"Los judíos que quieran ayudar pueden ir”.","Judíundzina gunekʉn naiʉnegi ijkakamrrerru dzinaia awazhʉnga”.","",""
"espiritu",14,"Ella se llenó de espíritu santo y dijo: “María, Jehová te ha bendecido.","Kinkuma ukuashkʉ, amashe awantka, ukuashkʉ Elisabet amtantka nanzhe tamkʉnarga dugangʉma dzin dzin nekantka.","",""
"biblia",13,"Lecciones que aprendo de la Biblia","Shindza ushi shka Bibliamba zhanandzinanzhe","",""
"noe",13,"Pero unos cuantos eligieron el lado del bien, como Abel y Noé.","Nʉnkarru zumé dzineka awantka, Abel ingui Noé dzineka ukuai.","",""
"arca",13,"Jehová le mandó a Noé construir un arca, que era una gran caja de madera que podía flotar en el agua.","Jehovága Noé kaia shkua arca go awega, kʉn gogumantka nanʉnka dziwa bʉgui nekuwanshkʉ dziramba mʉjtún nanuai.","",""
"bajo",13,"Con el paso del tiempo, el nivel del agua bajó.","Dzuia anzhakʉjsi nekuai dzira zhiuna awantka.","",""
"llegaron",13,"Abrahán tenía 75 años cuando él y su familia llegaron a la tierra que Jehová quería que vieran.","Shezhingo dzukuemdzi dzinaia awantka nawʉrga. Abrahán 75 kʉgi kʉnzhʉnguashkʉ na ingui nanzhe kawandzinawin kinkuma dzawantka kangʉma Jehovága tua awega ugungueku.","",""
"pascua",13,"La llamaron Pascua.","Dzazhigate Pascua.","",""
"soldados",13,"Ordenó a sus soldados: “Preparen todos mis carros de guerra, y vamos tras ellos.","Kaia nanzhe shka koshkandzina: “Shango awau kʉngui ranzhe carro koshkandzina, zhiwarga inzhu nekuzhi.","",""
"balaam",13,"Así que le pidió a un hombre llamado Balaam que fuera a Moab para maldecir a los israelitas, o sea, para desear en voz alta que les pasara algo malo.","Memé nunkuame tshui ashizha ingui terrua Balaam zhiganuka azhi guakʉn naia awega israelitandzina, anzhazhi guakega azhi kakinzhʉn awega.","",""
"noemi",13,"Destaque la influencia que tuvieron Débora, Noemí, Josué, Ana, la hija de Jefté y Samuel en su comunidad.","Kʉngui israelitandzinangua ñingui kʉnzhakujtsha dzinekʉnka Jehováwin ingui ʉndua shkandzinawin.","",""
"contesto",13,"Barac le contestó a Débora: “Voy, pero solo si tú vas conmigo”.","Baracga gʉgaso awantka Débora: “Naia awʉnga, awashkʉ ma rawin naia mawuerru”.","",""
"sanson",13,"Jehová le da fuerza a Sansón","Jehovága Sansón dʉma akawa uka","",""
"jonatan",13,"David dijo que Jonatán era más rápido que un águila y más fuerte que un león.","Davidga guaka Jonatán agʉñi mʉlamé nʉnka ingui sizhika guashinguʉn ingui agʉñi dʉma nʉnka ingui dumaga guashinguʉn.","",""
"sueño",13,"Llamó a los magos y les dijo: “Explíquenme el sueño que tuve”.","Kʉjkana awantka magia nekandzina ingui ukuemdzi kakaguia: “Nuguia ushau kʉwarga nanzhʉn awantka”.","",""
"mensaje",12,"Se puede usar el mismo método para ayudar a un adulto a tener una idea general del mensaje de la Biblia.","Ima zhinzhomagangua anguneka awazhʉnga shkandzinaga kagʉntuna awega bunguingʉma zukuega Biblianzhe.","",""
"iban",12,"Él sabía que iban a morir si desobedecían a Dios, pero de todas maneras comió.","Naka gʉntsha nanantka dziwidʉnka Kunkujshina kʉzhindzintujkuñí dzawerru, ukuashkangua ga awantka.","",""
"campo",12,"Más bien, Caín le dijo a Abel: “Ven conmigo al campo”.","We ñinguamka Caínga Abel kaia: “Naka ushi rawin kamkeka”.","",""
"mucha",12,"Con el tiempo, hubo mucha gente en la Tierra.","Dzuia anzhakʉjsi nekuai, bʉgui shka kuaguma awantka kangʉmamba.","",""
"isaac",12,"Abrahán le puso por nombre Isaac, que significa “risa”.","Abrahánga zhigate Isaac, guashi nʉnka “zhishima”.","",""
"dicho",12,"Después, hubo hambre por toda la tierra, como él había dicho, y la gente llegaba de todos lados para comprarle alimento.","Ukuemdzi, bʉgui margazhanga awantka kʉ kangʉmamba, naka guaka ukuai, shka kʉ nʉnkʉrgazhana dzinaka nanantka na zhama kirshanʉn.","",""
"prueba",12,"Para poner a prueba a sus hermanos, José escondió su copa de plata en la bolsa de comida de Benjamín y los acusó de robársela.","Wuaga awega anzhinguiandzina, Joséga sisa awantka nanzhe copa plata bunantka Benjamínzhe sakumba, ukuemdzi guaka ijkʉnaga dzinzhanga awantka.","",""
"pais",12,"Como el faraón no hizo caso, Aarón levantó su bastón, y todo el país se llenó de ranas.","Faraónga tujkuñí ukuambarru, Aarónga nanzhe kʉn zhite ukuashkʉ kʉ Egipturga sapo kut neká.","",""
"nehemias",12,"Éxodo 13:21-15:21; Nehemías 9:9-11; Salmo 106:9-12; 136:11-15; Hebreos 11:29.","Éxodo 13:21-15:21; Nehemías 9:9-11; Salmo 106:9-12; 136:11-15; Hebreos 11:29.","",""
"mejor",12,"Habría sido mejor si Balaam hubiera hecho caso a Jehová desde el principio, ¿verdad?","Balaamga Jehová kʉzhintujkua awanandu minshangui zumé nantka nunkua, ¿nʉnai?","",""
"eliseo",12,"Todavía hay 7.000 personas en Israel que me adoran a mí. Ve y dile a Eliseo que él es el elegido para ser profeta después de ti”.","Israelka awa nʉnka 7.000 shkandzina ra nʉgagungandzinangui dzinʉnka. Naia kaiarru uguia ushi Eliseuga na kimʉnguʉn anguga awanarga awemdzi profeta nanega”.","",""
"josias",12,"El rey Josías eliminó la idolatría que había en el país, reparó el templo y ayudó al pueblo a adorar de nuevo a Jehová.","Zhaguasheka Josíaga zhishunsha awantka kunkujshina kuisa nʉnkandzina Israelka zhanandzina, shango awantka templo ingui anguneka awantka shkandzina Jehová kʉnduna awega.","",""
"predicar",12,"Jehová envía a Jeremías a predicar","Jehovága angasha uka Jeremías na ingegua ashaiʉn","",""
"lecciones",11,"Lecciones que aprendo de la Biblia","Shindza ushi shka Bibliamba zhanandzinanzhe","",""
"hecho",11,"Se ha hecho un esfuerzo especial para presentar esos relatos de manera clara, sencilla y, siempre que ha sido posible, en el orden en que sucedieron.","Gogumantka nuka iba nanún nʉnka kintujkua awega, ganekʉnegi nanuemdzi guaka nekʉnka kʉskʉnangui zhanekantka ingui ukuemdzi zhaneka awantka.","",""
"cada",11,"El libro está dividido en 14 secciones. Al principio de cada una, hay un resumen de algunas de las lecciones que podemos aprender.","Ima zhinzhoma kʉnʉnka kʉnkua 14 zhinzhomamburru. Kʉskʉnangui kʉnkua angogumantka nuka ima zhinzhomanzhe naimashe uka unguazingʉma ñingui bʉgui anzhʉngandzina shindza aunkurra.","",""
